python_expression,natural_language
(9 * (19 + 18 + 7) - 19) + (46 - 33),"add 19, 18, and 7, multiply that by 9, then subtract 19, then add the difference of 46 and 33)."
(9 * (19 + 18 + 7) - 19) - (23 + 41),"add 19, 18, and 7, multiply that by 9, then subtract 19, then subtract the sum of 23 and 41."
(9 * (19 + 18 + 7) - 19) - 15,"add 19, 18, and 7, multiply that by 9, then subtract 19, then subtract 15."
(9 * (19 + 18 + 7) - 19) + 42,"add 19, 18, and 7, multiply that by 9, then subtract 19, then add 42."
(42 + 4) + (34 * 43) - 35,"add 42 and 4, multiply 34 by 43, add the results, then subtract 35."
((42 + 4) + (34 * 43) - 35) - (6 * 10),"add 42 and 4, multiply 34 by 43, add the results, then subtract 35, then subtract the product of 6 and 10."
((42 + 4) + (34 * 43) - 35) + (12 + 9 + 20),"add 42 and 4, multiply 34 by 43, add the results, then subtract 35, then add the sum of 12, 9, and 20."
((42 + 4) + (34 * 43) - 35) + (6 * 3),"add 42 and 4, multiply 34 by 43, add the results, then subtract 35, then add the product of 6 and 3."
((42 + 4) + (34 * 43) - 35) - (28 + 16 + 27),"add 42 and 4, multiply 34 by 43, add the results, then subtract 35, then subtract the sum of 28, 16, and 27."
((42 + 4) + (34 * 43) - 35) * 2,"add 42 and 4, multiply 34 by 43, add the results, then subtract 35, then multiply that by 2."
((42 + 4) + (34 * 43) - 35) - (8 - 30),"add 42 and 4, multiply 34 by 43, add the results, then subtract 35, then subtract the difference of 8 and 30."
((42 + 4) + (34 * 43) - 35) + (10 + 26 + 12),"add 42 and 4, multiply 34 by 43, add the results, then subtract 35, then add the sum of 10, 26, and 12."
((42 + 4) + (34 * 43) - 35) - (30 + 3),"add 42 and 4, multiply 34 by 43, add the results, then subtract 35, then subtract the sum of 30 and 3."
((42 + 4) + (34 * 43) - 35) + (7 * 12),"add 42 and 4, multiply 34 by 43, add the results, then subtract 35, then add the product of 7 and 12."
(4 + 22) * 10 - (3 + 7),"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7."
((4 + 22) * 10 - (3 + 7)) + (24 + 48),"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7, then add the sum of 24 and 48."
((4 + 22) * 10 - (3 + 7)) + (7 * 8),"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7, then add the product of 7 and 8."
((4 + 22) * 10 - (3 + 7)) + (3 + 27),"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7, then add the sum of 3 and 27."
((4 + 22) * 10 - (3 + 7)) - (39 - 36),"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7, then subtract the difference of 39 and 36."
((4 + 22) * 10 - (3 + 7)) - (27 + 40),"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7, then subtract the sum of 27 and 40."
((4 + 22) * 10 - (3 + 7)) + 36,"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7, then add 36."
((4 + 22) * 10 - (3 + 7)) - 22,"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7, then subtract 22."
((4 + 22) * 10 - (3 + 7)) + 29,"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7, then add 29."
((4 + 22) * 10 - (3 + 7)) * 3,"add 4 and 22, multiply that by 10, then subtract the sum of 3 and 7, then multiply that by 3."
25 * 8 * 14 - 5 + 18,"multiply 25, 8, and 14 together, then subtract 5, then add 18."
(25 * 8 * 14 - 5 + 18) * 2,"multiply 25, 8, and 14 together, then subtract 5, then add 18, then multiply that by 2."
(25 * 8 * 14 - 5 + 18) - (37 - 20),"multiply 25, 8, and 14 together, then subtract 5, then add 18, then subtract the difference of 37 and 20."
(25 * 8 * 14 - 5 + 18) + (50 + 43),"multiply 25, 8, and 14 together, then subtract 5, then add 18, then add the sum of 50 and 43."
(25 * 8 * 14 - 5 + 18) + (5 * 11),"multiply 25, 8, and 14 together, then subtract 5, then add 18, then add the product of 5 and 11."
(25 * 8 * 14 - 5 + 18) - 50,"multiply 25, 8, and 14 together, then subtract 5, then add 18, then subtract 50."
(25 * 8 * 14 - 5 + 18) + (44 + 29),"multiply 25, 8, and 14 together, then subtract 5, then add 18, then add the sum of 44 and 29."
(25 * 8 * 14 - 5 + 18) + (12 * 12),"multiply 25, 8, and 14 together, then subtract 5, then add 18, then add the product of 12 and 12."
(25 * 8 * 14 - 5 + 18) + (22 + 11 + 2),"multiply 25, 8, and 14 together, then subtract 5, then add 18, then add the sum of 22, 11, and 2."
(25 * 8 * 14 - 5 + 18) - 31,"multiply 25, 8, and 14 together, then subtract 5, then add 18, then subtract 31."
34 * (31 + 15) + 37,"add 31 and 15, multiply that by 34, then add 37."
(34 * (31 + 15) + 37) - (42 + 26),"add 31 and 15, multiply that by 34, then add 37, then subtract the sum of 42 and 26."
(34 * (31 + 15) + 37) + (12 + 48),"add 31 and 15, multiply that by 34, then add 37, then add the sum of 12 and 48."
(34 * (31 + 15) + 37) * (2 + 7),"add 31 and 15, multiply that by 34, then add 37, then multiply that by the sum of 2 and 7."
(34 * (31 + 15) + 37) + 12,"add 31 and 15, multiply that by 34, then add 37, then add 12."
(34 * (31 + 15) + 37) + (45 - 5),"add 31 and 15, multiply that by 34, then add 37, then add the difference of 45 and 5)."
(34 * (31 + 15) + 37) - 25,"add 31 and 15, multiply that by 34, then add 37, then subtract 25."
(34 * (31 + 15) + 37) - (3 + 23 + 9),"add 31 and 15, multiply that by 34, then add 37, then subtract the sum of 3, 23, and 9."
(34 * (31 + 15) + 37) + (33 + 18),"add 31 and 15, multiply that by 34, then add 37, then add the sum of 33 and 18."
(34 * (31 + 15) + 37) - (38 + 25),"add 31 and 15, multiply that by 34, then add 37, then subtract the sum of 38 and 25."
(28 + 50) + (6 * 11) - 28,"add 28 and 50, multiply 6 by 11, add the results, then subtract 28."
((28 + 50) + (6 * 11) - 28) + (22 + 19 + 12),"add 28 and 50, multiply 6 by 11, add the results, then subtract 28, then add the sum of 22, 19, and 12."
((28 + 50) + (6 * 11) - 28) - (46 - 33),"add 28 and 50, multiply 6 by 11, add the results, then subtract 28, then subtract the difference of 46 and 33."
((28 + 50) + (6 * 11) - 28) + (34 - 5),"add 28 and 50, multiply 6 by 11, add the results, then subtract 28, then add the difference of 34 and 5)."
((28 + 50) + (6 * 11) - 28) + (10 + 49),"add 28 and 50, multiply 6 by 11, add the results, then subtract 28, then add the sum of 10 and 49."
((28 + 50) + (6 * 11) - 28) + (16 + 8),"add 28 and 50, multiply 6 by 11, add the results, then subtract 28, then add the sum of 16 and 8."
((28 + 50) + (6 * 11) - 28) * 3,"add 28 and 50, multiply 6 by 11, add the results, then subtract 28, then multiply that by 3."
((28 + 50) + (6 * 11) - 28) + 40,"add 28 and 50, multiply 6 by 11, add the results, then subtract 28, then add 40."
((28 + 50) + (6 * 11) - 28) * (3 * 8),"add 28 and 50, multiply 6 by 11, add the results, then subtract 28, then multiply that by the product of 3 and 8."
((28 + 50) + (6 * 11) - 28) * (16 + 14),"add 28 and 50, multiply 6 by 11, add the results, then subtract 28, then multiply that by the sum of 16 and 14."
(7 * 23 * 19) + 28,"multiply 7, 23, and 19 together, then add 28."
((7 * 23 * 19) + 28) + 49,"multiply 7, 23, and 19 together, then add 28, then add 49."
((7 * 23 * 19) + 28) + (50 - 42),"multiply 7, 23, and 19 together, then add 28, then add the difference of 50 and 42)."
((7 * 23 * 19) + 28) * (7 * 10),"multiply 7, 23, and 19 together, then add 28, then multiply that by the product of 7 and 10."
((7 * 23 * 19) + 28) + (10 + 41),"multiply 7, 23, and 19 together, then add 28, then add the sum of 10 and 41."
((7 * 23 * 19) + 28) - (37 + 20),"multiply 7, 23, and 19 together, then add 28, then subtract the sum of 37 and 20."
((7 * 23 * 19) + 28) - (27 - 40),"multiply 7, 23, and 19 together, then add 28, then subtract the difference of 27 and 40."
((7 * 23 * 19) + 28) * (2 * 9),"multiply 7, 23, and 19 together, then add 28, then multiply that by the product of 2 and 9."
((7 * 23 * 19) + 28) + (38 - 17),"multiply 7, 23, and 19 together, then add 28, then add the difference of 38 and 17)."
((7 * 23 * 19) + 28) - (6 * 10),"multiply 7, 23, and 19 together, then add 28, then subtract the product of 6 and 10."
(25 - 32) * (2 + 40) + 41,"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41."
((25 - 32) * (2 + 40) + 41) - (21 - 49),"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41, then subtract the difference of 21 and 49."
((25 - 32) * (2 + 40) + 41) - 22,"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41, then subtract 22."
((25 - 32) * (2 + 40) + 41) + (47 - 18),"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41, then add the difference of 47 and 18)."
((25 - 32) * (2 + 40) + 41) + (18 + 10 + 16),"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41, then add the sum of 18, 10, and 16."
((25 - 32) * (2 + 40) + 41) * (5 + 20),"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41, then multiply that by the sum of 5 and 20."
((25 - 32) * (2 + 40) + 41) - (22 + 46),"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41, then subtract the sum of 22 and 46."
((25 - 32) * (2 + 40) + 41) - 47,"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41, then subtract 47."
((25 - 32) * (2 + 40) + 41) - (7 * 2),"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41, then subtract the product of 7 and 2."
((25 - 32) * (2 + 40) + 41) - (5 + 28 + 24),"subtract 32 from 25, add 2 and 40, multiply the two results, then add 41, then subtract the sum of 5, 28, and 24."
(41 * (36 - 44)) + 27,"subtract 44 from 36, multiply that by 41, then add 27."
((41 * (36 - 44)) + 27) + (11 * 3),"subtract 44 from 36, multiply that by 41, then add 27, then add the product of 11 and 3."
((41 * (36 - 44)) + 27) * (5 * 2),"subtract 44 from 36, multiply that by 41, then add 27, then multiply that by the product of 5 and 2."
((41 * (36 - 44)) + 27) + 3,"subtract 44 from 36, multiply that by 41, then add 27, then add 3."
((41 * (36 - 44)) + 27) - (49 + 31),"subtract 44 from 36, multiply that by 41, then add 27, then subtract the sum of 49 and 31."
((41 * (36 - 44)) + 27) - 35,"subtract 44 from 36, multiply that by 41, then add 27, then subtract 35."
((41 * (36 - 44)) + 27) - (3 - 33),"subtract 44 from 36, multiply that by 41, then add 27, then subtract the difference of 3 and 33."
((41 * (36 - 44)) + 27) + (9 + 10 + 29),"subtract 44 from 36, multiply that by 41, then add 27, then add the sum of 9, 10, and 29."
((41 * (36 - 44)) + 27) * (6 * 6),"subtract 44 from 36, multiply that by 41, then add 27, then multiply that by the product of 6 and 6."
((41 * (36 - 44)) + 27) + (49 + 27),"subtract 44 from 36, multiply that by 41, then add 27, then add the sum of 49 and 27."
(30 + (46 * 39)) - 17,"multiply 46 by 39, add 30 to that, then subtract 17."
((30 + (46 * 39)) - 17) + (30 - 32),"multiply 46 by 39, add 30 to that, then subtract 17, then add the difference of 30 and 32)."
((30 + (46 * 39)) - 17) - (23 + 2),"multiply 46 by 39, add 30 to that, then subtract 17, then subtract the sum of 23 and 2."
((30 + (46 * 39)) - 17) - (29 + 20 + 26),"multiply 46 by 39, add 30 to that, then subtract 17, then subtract the sum of 29, 20, and 26."
((30 + (46 * 39)) - 17) + (40 - 20),"multiply 46 by 39, add 30 to that, then subtract 17, then add the difference of 40 and 20)."
((30 + (46 * 39)) - 17) - 23,"multiply 46 by 39, add 30 to that, then subtract 17, then subtract 23."
((30 + (46 * 39)) - 17) + (4 + 6 + 14),"multiply 46 by 39, add 30 to that, then subtract 17, then add the sum of 4, 6, and 14."
((30 + (46 * 39)) - 17) * (10 + 13),"multiply 46 by 39, add 30 to that, then subtract 17, then multiply that by the sum of 10 and 13."
((30 + (46 * 39)) - 17) - (41 + 45),"multiply 46 by 39, add 30 to that, then subtract 17, then subtract the sum of 41 and 45."
((30 + (46 * 39)) - 17) + (26 + 9 + 24),"multiply 46 by 39, add 30 to that, then subtract 17, then add the sum of 26, 9, and 24."
11 * (5 + 43) + 33,"add 5 and 43, multiply that by 11, then add 33."
(11 * (5 + 43) + 33) * 10,"add 5 and 43, multiply that by 11, then add 33, then multiply that by 10."
(11 * (5 + 43) + 33) * (16 + 10),"add 5 and 43, multiply that by 11, then add 33, then multiply that by the sum of 16 and 10."
(11 * (5 + 43) + 33) * (5 + 4),"add 5 and 43, multiply that by 11, then add 33, then multiply that by the sum of 5 and 4."
(11 * (5 + 43) + 33) - (13 - 37),"add 5 and 43, multiply that by 11, then add 33, then subtract the difference of 13 and 37."
(11 * (5 + 43) + 33) + 18,"add 5 and 43, multiply that by 11, then add 33, then add 18."
(11 * (5 + 43) + 33) + (7 * 7),"add 5 and 43, multiply that by 11, then add 33, then add the product of 7 and 7."
(11 * (5 + 43) + 33) + 26,"add 5 and 43, multiply that by 11, then add 33, then add 26."
(11 * (5 + 43) + 33) - (23 - 13),"add 5 and 43, multiply that by 11, then add 33, then subtract the difference of 23 and 13."
(11 * (5 + 43) + 33) - (32 + 4),"add 5 and 43, multiply that by 11, then add 33, then subtract the sum of 32 and 4."
39 * (12 + 13 + 14) - 13,"add 12, 13, and 14, multiply that by 39, then subtract 13."
(39 * (12 + 13 + 14) - 13) * (10 * 6),"add 12, 13, and 14, multiply that by 39, then subtract 13, then multiply that by the product of 10 and 6."
(39 * (12 + 13 + 14) - 13) + (6 * 11),"add 12, 13, and 14, multiply that by 39, then subtract 13, then add the product of 6 and 11."
(39 * (12 + 13 + 14) - 13) - (22 - 6),"add 12, 13, and 14, multiply that by 39, then subtract 13, then subtract the difference of 22 and 6."
(39 * (12 + 13 + 14) - 13) + (2 * 9),"add 12, 13, and 14, multiply that by 39, then subtract 13, then add the product of 2 and 9."
(39 * (12 + 13 + 14) - 13) + (13 - 24),"add 12, 13, and 14, multiply that by 39, then subtract 13, then add the difference of 13 and 24)."
(39 * (12 + 13 + 14) - 13) + (20 - 46),"add 12, 13, and 14, multiply that by 39, then subtract 13, then add the difference of 20 and 46)."
(39 * (12 + 13 + 14) - 13) - (33 + 2),"add 12, 13, and 14, multiply that by 39, then subtract 13, then subtract the sum of 33 and 2."
(39 * (12 + 13 + 14) - 13) * (7 + 9),"add 12, 13, and 14, multiply that by 39, then subtract 13, then multiply that by the sum of 7 and 9."
(39 * (12 + 13 + 14) - 13) + (5 * 3),"add 12, 13, and 14, multiply that by 39, then subtract 13, then add the product of 5 and 3."
(14 * 26 * 20) + 7,"multiply 14, 26, and 20 together, then add 7."
((14 * 26 * 20) + 7) - (5 - 26),"multiply 14, 26, and 20 together, then add 7, then subtract the difference of 5 and 26."
((14 * 26 * 20) + 7) * (14 + 3),"multiply 14, 26, and 20 together, then add 7, then multiply that by the sum of 14 and 3."
((14 * 26 * 20) + 7) + (2 * 12),"multiply 14, 26, and 20 together, then add 7, then add the product of 2 and 12."
((14 * 26 * 20) + 7) + 31,"multiply 14, 26, and 20 together, then add 7, then add 31."
((14 * 26 * 20) + 7) - (15 + 46),"multiply 14, 26, and 20 together, then add 7, then subtract the sum of 15 and 46."
((14 * 26 * 20) + 7) * 9,"multiply 14, 26, and 20 together, then add 7, then multiply that by 9."
((14 * 26 * 20) + 7) - 46,"multiply 14, 26, and 20 together, then add 7, then subtract 46."
((14 * 26 * 20) + 7) - (25 + 14 + 19),"multiply 14, 26, and 20 together, then add 7, then subtract the sum of 25, 14, and 19."
((14 * 26 * 20) + 7) + 18,"multiply 14, 26, and 20 together, then add 7, then add 18."
20 * (2 + 3) + 4,"add 2 and 3, multiply that by 20, then add 4."
(20 * (2 + 3) + 4) - 10,"add 2 and 3, multiply that by 20, then add 4, then subtract 10."
(20 * (2 + 3) + 4) + 2,"add 2 and 3, multiply that by 20, then add 4, then add 2."
(20 * (2 + 3) + 4) - (29 + 35),"add 2 and 3, multiply that by 20, then add 4, then subtract the sum of 29 and 35."
(20 * (2 + 3) + 4) - (39 - 20),"add 2 and 3, multiply that by 20, then add 4, then subtract the difference of 39 and 20."
(20 * (2 + 3) + 4) - (4 + 12 + 17),"add 2 and 3, multiply that by 20, then add 4, then subtract the sum of 4, 12, and 17."
(20 * (2 + 3) + 4) + (23 - 18),"add 2 and 3, multiply that by 20, then add 4, then add the difference of 23 and 18)."
(20 * (2 + 3) + 4) + (5 * 2),"add 2 and 3, multiply that by 20, then add 4, then add the product of 5 and 2."
(20 * (2 + 3) + 4) + (18 + 9 + 16),"add 2 and 3, multiply that by 20, then add 4, then add the sum of 18, 9, and 16."
(20 * (2 + 3) + 4) * (2 * 8),"add 2 and 3, multiply that by 20, then add 4, then multiply that by the product of 2 and 8."
((35 + 39) * (44 + 28)),"add 35 and 39, add 44 and 28, then multiply the two results."
(((35 + 39) * (44 + 28))) + (2 * 10),"add 35 and 39, add 44 and 28, then multiply the two results, then add the product of 2 and 10."
(((35 + 39) * (44 + 28))) + (47 + 49),"add 35 and 39, add 44 and 28, then multiply the two results, then add the sum of 47 and 49."
(((35 + 39) * (44 + 28))) - 37,"add 35 and 39, add 44 and 28, then multiply the two results, then subtract 37."
(((35 + 39) * (44 + 28))) + (3 + 48),"add 35 and 39, add 44 and 28, then multiply the two results, then add the sum of 3 and 48."
(((35 + 39) * (44 + 28))) * (7 * 4),"add 35 and 39, add 44 and 28, then multiply the two results, then multiply that by the product of 7 and 4."
(((35 + 39) * (44 + 28))) - (24 + 9 + 20),"add 35 and 39, add 44 and 28, then multiply the two results, then subtract the sum of 24, 9, and 20."
(((35 + 39) * (44 + 28))) * (19 + 17),"add 35 and 39, add 44 and 28, then multiply the two results, then multiply that by the sum of 19 and 17."
(((35 + 39) * (44 + 28))) - (4 * 9),"add 35 and 39, add 44 and 28, then multiply the two results, then subtract the product of 4 and 9."
(((35 + 39) * (44 + 28))) - (13 + 4),"add 35 and 39, add 44 and 28, then multiply the two results, then subtract the sum of 13 and 4."
((46 + 29) * (44 + 12)),"add 46 and 29, add 44 and 12, then multiply the two results."
(((46 + 29) * (44 + 12))) + (12 * 6),"add 46 and 29, add 44 and 12, then multiply the two results, then add the product of 12 and 6."
(((46 + 29) * (44 + 12))) + (12 + 22 + 10),"add 46 and 29, add 44 and 12, then multiply the two results, then add the sum of 12, 22, and 10."
(((46 + 29) * (44 + 12))) + (27 + 2),"add 46 and 29, add 44 and 12, then multiply the two results, then add the sum of 27 and 2."
(((46 + 29) * (44 + 12))) + 45,"add 46 and 29, add 44 and 12, then multiply the two results, then add 45."
(((46 + 29) * (44 + 12))) - 10,"add 46 and 29, add 44 and 12, then multiply the two results, then subtract 10."
(((46 + 29) * (44 + 12))) + (23 - 38),"add 46 and 29, add 44 and 12, then multiply the two results, then add the difference of 23 and 38)."
(((46 + 29) * (44 + 12))) * 2,"add 46 and 29, add 44 and 12, then multiply the two results, then multiply that by 2."
(((46 + 29) * (44 + 12))) + 36,"add 46 and 29, add 44 and 12, then multiply the two results, then add 36."
(((46 + 29) * (44 + 12))) * 11,"add 46 and 29, add 44 and 12, then multiply the two results, then multiply that by 11."
(18 + 31) * 24 + 23 - 39,"add 18 and 31, multiply that by 24, then add 23, then subtract 39."
((18 + 31) * 24 + 23 - 39) * 3,"add 18 and 31, multiply that by 24, then add 23, then subtract 39, then multiply that by 3."
((18 + 31) * 24 + 23 - 39) * 4,"add 18 and 31, multiply that by 24, then add 23, then subtract 39, then multiply that by 4."
((18 + 31) * 24 + 23 - 39) * (4 * 8),"add 18 and 31, multiply that by 24, then add 23, then subtract 39, then multiply that by the product of 4 and 8."
((18 + 31) * 24 + 23 - 39) - (2 * 7),"add 18 and 31, multiply that by 24, then add 23, then subtract 39, then subtract the product of 2 and 7."
((18 + 31) * 24 + 23 - 39) - (24 + 38),"add 18 and 31, multiply that by 24, then add 23, then subtract 39, then subtract the sum of 24 and 38."
((18 + 31) * 24 + 23 - 39) - (2 + 9 + 20),"add 18 and 31, multiply that by 24, then add 23, then subtract 39, then subtract the sum of 2, 9, and 20."
((18 + 31) * 24 + 23 - 39) + 25,"add 18 and 31, multiply that by 24, then add 23, then subtract 39, then add 25."
((18 + 31) * 24 + 23 - 39) - (26 + 13 + 12),"add 18 and 31, multiply that by 24, then add 23, then subtract 39, then subtract the sum of 26, 13, and 12."
((18 + 31) * 24 + 23 - 39) - 38,"add 18 and 31, multiply that by 24, then add 23, then subtract 39, then subtract 38."
33 * 45 + 37 - 40,"multiply 33 by 45, then add 37, then subtract 40."
(33 * 45 + 37 - 40) - (45 - 25),"multiply 33 by 45, then add 37, then subtract 40, then subtract the difference of 45 and 25."
(33 * 45 + 37 - 40) + (3 * 8),"multiply 33 by 45, then add 37, then subtract 40, then add the product of 3 and 8."
(33 * 45 + 37 - 40) + (25 + 38),"multiply 33 by 45, then add 37, then subtract 40, then add the sum of 25 and 38."
(33 * 45 + 37 - 40) - (11 + 15),"multiply 33 by 45, then add 37, then subtract 40, then subtract the sum of 11 and 15."
(33 * 45 + 37 - 40) * (4 * 4),"multiply 33 by 45, then add 37, then subtract 40, then multiply that by the product of 4 and 4."
(33 * 45 + 37 - 40) * (3 * 7),"multiply 33 by 45, then add 37, then subtract 40, then multiply that by the product of 3 and 7."
(33 * 45 + 37 - 40) + (39 - 37),"multiply 33 by 45, then add 37, then subtract 40, then add the difference of 39 and 37)."
(33 * 45 + 37 - 40) - (41 - 8),"multiply 33 by 45, then add 37, then subtract 40, then subtract the difference of 41 and 8."
(33 * 45 + 37 - 40) + (12 - 24),"multiply 33 by 45, then add 37, then subtract 40, then add the difference of 12 and 24)."
(13 * 22 * 18) + 30,"multiply 13, 22, and 18 together, then add 30."
((13 * 22 * 18) + 30) - (31 + 18),"multiply 13, 22, and 18 together, then add 30, then subtract the sum of 31 and 18."
((13 * 22 * 18) + 30) * (7 + 14),"multiply 13, 22, and 18 together, then add 30, then multiply that by the sum of 7 and 14."
((13 * 22 * 18) + 30) - (7 * 3),"multiply 13, 22, and 18 together, then add 30, then subtract the product of 7 and 3."
((13 * 22 * 18) + 30) + (4 * 6),"multiply 13, 22, and 18 together, then add 30, then add the product of 4 and 6."
((13 * 22 * 18) + 30) - (7 + 12 + 16),"multiply 13, 22, and 18 together, then add 30, then subtract the sum of 7, 12, and 16."
((13 * 22 * 18) + 30) - (4 + 13 + 27),"multiply 13, 22, and 18 together, then add 30, then subtract the sum of 4, 13, and 27."
((13 * 22 * 18) + 30) + (6 * 12),"multiply 13, 22, and 18 together, then add 30, then add the product of 6 and 12."
((13 * 22 * 18) + 30) + (4 * 8),"multiply 13, 22, and 18 together, then add 30, then add the product of 4 and 8."
((13 * 22 * 18) + 30) + (14 + 12),"multiply 13, 22, and 18 together, then add 30, then add the sum of 14 and 12."
(24 + 24 + 25) * 32 - 8,"add 24, 24, and 25, multiply that sum by 32, then subtract 8."
((24 + 24 + 25) * 32 - 8) + (31 - 40),"add 24, 24, and 25, multiply that sum by 32, then subtract 8, then add the difference of 31 and 40)."
((24 + 24 + 25) * 32 - 8) - (12 * 11),"add 24, 24, and 25, multiply that sum by 32, then subtract 8, then subtract the product of 12 and 11."
((24 + 24 + 25) * 32 - 8) + (9 + 26 + 2),"add 24, 24, and 25, multiply that sum by 32, then subtract 8, then add the sum of 9, 26, and 2."
((24 + 24 + 25) * 32 - 8) + (4 * 2),"add 24, 24, and 25, multiply that sum by 32, then subtract 8, then add the product of 4 and 2."
((24 + 24 + 25) * 32 - 8) * (15 + 20),"add 24, 24, and 25, multiply that sum by 32, then subtract 8, then multiply that by the sum of 15 and 20."
((24 + 24 + 25) * 32 - 8) - (5 + 28 + 3),"add 24, 24, and 25, multiply that sum by 32, then subtract 8, then subtract the sum of 5, 28, and 3."
((24 + 24 + 25) * 32 - 8) - (6 * 11),"add 24, 24, and 25, multiply that sum by 32, then subtract 8, then subtract the product of 6 and 11."
((24 + 24 + 25) * 32 - 8) + (8 + 15 + 2),"add 24, 24, and 25, multiply that sum by 32, then subtract 8, then add the sum of 8, 15, and 2."
((24 + 24 + 25) * 32 - 8) + (21 + 9 + 14),"add 24, 24, and 25, multiply that sum by 32, then subtract 8, then add the sum of 21, 9, and 14."
(12 * 24 * 24) + 15,"multiply 12, 24, and 24 together, then add 15."
((12 * 24 * 24) + 15) + (33 - 33),"multiply 12, 24, and 24 together, then add 15, then add the difference of 33 and 33)."
((12 * 24 * 24) + 15) + (29 - 27),"multiply 12, 24, and 24 together, then add 15, then add the difference of 29 and 27)."
((12 * 24 * 24) + 15) - (2 * 6),"multiply 12, 24, and 24 together, then add 15, then subtract the product of 2 and 6."
((12 * 24 * 24) + 15) * 4,"multiply 12, 24, and 24 together, then add 15, then multiply that by 4."
((12 * 24 * 24) + 15) + (3 * 10),"multiply 12, 24, and 24 together, then add 15, then add the product of 3 and 10."
((12 * 24 * 24) + 15) + (30 - 12),"multiply 12, 24, and 24 together, then add 15, then add the difference of 30 and 12)."
((12 * 24 * 24) + 15) + (26 - 16),"multiply 12, 24, and 24 together, then add 15, then add the difference of 26 and 16)."
((12 * 24 * 24) + 15) + (6 + 10 + 2),"multiply 12, 24, and 24 together, then add 15, then add the sum of 6, 10, and 2."
((12 * 24 * 24) + 15) * (12 + 17),"multiply 12, 24, and 24 together, then add 15, then multiply that by the sum of 12 and 17."
(17 + (10 * 8)) - 2,"multiply 10 by 8, add 17 to that, then subtract 2."
((17 + (10 * 8)) - 2) + (10 * 5),"multiply 10 by 8, add 17 to that, then subtract 2, then add the product of 10 and 5."
((17 + (10 * 8)) - 2) - (38 + 3),"multiply 10 by 8, add 17 to that, then subtract 2, then subtract the sum of 38 and 3."
((17 + (10 * 8)) - 2) * (6 + 10),"multiply 10 by 8, add 17 to that, then subtract 2, then multiply that by the sum of 6 and 10."
((17 + (10 * 8)) - 2) + (25 + 2),"multiply 10 by 8, add 17 to that, then subtract 2, then add the sum of 25 and 2."
((17 + (10 * 8)) - 2) - (41 + 29),"multiply 10 by 8, add 17 to that, then subtract 2, then subtract the sum of 41 and 29."
((17 + (10 * 8)) - 2) + (9 + 2 + 9),"multiply 10 by 8, add 17 to that, then subtract 2, then add the sum of 9, 2, and 9."
((17 + (10 * 8)) - 2) - (21 + 14 + 6),"multiply 10 by 8, add 17 to that, then subtract 2, then subtract the sum of 21, 14, and 6."
((17 + (10 * 8)) - 2) - (48 + 42),"multiply 10 by 8, add 17 to that, then subtract 2, then subtract the sum of 48 and 42."
((17 + (10 * 8)) - 2) + (37 - 14),"multiply 10 by 8, add 17 to that, then subtract 2, then add the difference of 37 and 14)."
3 * (1 + 21 + 3) - 11,"add 1, 21, and 3, multiply that by 3, then subtract 11."
(3 * (1 + 21 + 3) - 11) - (6 + 30 + 14),"add 1, 21, and 3, multiply that by 3, then subtract 11, then subtract the sum of 6, 30, and 14."
(3 * (1 + 21 + 3) - 11) + (44 - 49),"add 1, 21, and 3, multiply that by 3, then subtract 11, then add the difference of 44 and 49)."
(3 * (1 + 21 + 3) - 11) * (13 + 17),"add 1, 21, and 3, multiply that by 3, then subtract 11, then multiply that by the sum of 13 and 17."
(3 * (1 + 21 + 3) - 11) + (47 - 10),"add 1, 21, and 3, multiply that by 3, then subtract 11, then add the difference of 47 and 10)."
(3 * (1 + 21 + 3) - 11) + 49,"add 1, 21, and 3, multiply that by 3, then subtract 11, then add 49."
(3 * (1 + 21 + 3) - 11) + (27 - 44),"add 1, 21, and 3, multiply that by 3, then subtract 11, then add the difference of 27 and 44)."
(3 * (1 + 21 + 3) - 11) - (7 * 6),"add 1, 21, and 3, multiply that by 3, then subtract 11, then subtract the product of 7 and 6."
(3 * (1 + 21 + 3) - 11) - (6 + 11 + 17),"add 1, 21, and 3, multiply that by 3, then subtract 11, then subtract the sum of 6, 11, and 17."
(3 * (1 + 21 + 3) - 11) - (27 + 47),"add 1, 21, and 3, multiply that by 3, then subtract 11, then subtract the sum of 27 and 47."
